Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,9.500000,9.500000,8.700000,8.946000,8.946000,2866810
2019-12-10,9.050000,9.050000,8.940000,8.948000,8.948000,1198921
2019-12-11,8.950000,8.950000,8.782000,8.782000,8.782000,431687
2019-12-12,8.898000,8.898000,7.752000,7.880000,7.880000,557261
2019-12-13,7.880000,7.980000,7.290000,7.300000,7.300000,426428
2019-12-16,7.980000,8.000000,7.301000,7.301000,7.301000,430978
2019-12-17,7.500000,7.500000,6.002000,6.002000,6.002000,575592
2019-12-18,5.800000,7.190000,5.402000,6.360000,6.360000,750365
2019-12-19,7.200000,7.500000,6.601000,7.450000,7.450000,733683
2019-12-20,7.400000,7.499000,7.200000,7.490000,7.490000,195503
2019-12-23,7.500000,7.500000,7.000000,7.000000,7.000000,397007
2019-12-27,7.380000,7.380000,6.895000,6.990000,6.990000,332055
2019-12-30,7.295000,7.295000,6.900000,7.190000,7.190000,239894
2020-01-02,7.442000,7.442000,7.190000,7.300000,7.300000,202022
2020-01-03,7.400000,7.400000,7.111000,7.378000,7.378000,88883
2020-01-06,7.370000,7.450000,7.050000,7.319000,7.319000,120345
2020-01-07,7.300000,7.315000,7.000000,7.299000,7.299000,173962
2020-01-08,7.299000,7.490000,7.000000,7.350000,7.350000,263007
2020-01-09,7.305000,7.400000,7.155000,7.280000,7.280000,86056
2020-01-10,7.349000,7.375000,7.280000,7.301000,7.301000,91349
2020-01-13,7.281000,7.400000,7.280000,7.320000,7.320000,132022
2020-01-14,7.382000,7.392000,7.100000,7.302000,7.302000,144217
2020-01-15,7.399000,8.099000,7.200000,8.000000,8.000000,164829
2020-01-16,7.680000,7.680000,7.220000,7.420000,7.420000,138662
2020-01-17,7.600000,7.600000,7.320000,7.340000,7.340000,70052
2020-01-20,7.480000,7.680000,7.460000,7.500000,7.500000,126714
2020-01-21,7.620000,7.900000,7.500000,7.880000,7.880000,309085
2020-01-22,7.880000,8.200000,7.720000,8.160000,8.160000,144510
2020-01-23,8.100000,8.400000,7.840000,8.220000,8.220000,166562
2020-01-24,8.400000,8.680000,8.320000,8.640000,8.640000,188541
2020-01-27,8.640000,9.000000,8.240000,8.580000,8.580000,251542
2020-01-28,8.880000,8.880000,8.600000,8.760000,8.760000,149796
2020-01-29,8.760000,8.820000,8.520000,8.820000,8.820000,156535
2020-01-30,8.780000,8.940000,8.700000,8.900000,8.900000,99279
2020-01-31,8.700000,8.920000,8.580000,8.880000,8.880000,85283
2020-02-03,8.720000,8.800000,8.300000,8.640000,8.640000,126595
2020-02-04,8.660000,8.780000,8.360000,8.360000,8.360000,102723
2020-02-05,8.480000,8.480000,8.160000,8.200000,8.200000,56873
2020-02-06,8.260000,8.260000,7.800000,8.060000,8.060000,92178
2020-02-07,8.060000,8.060000,7.540000,7.860000,7.860000,75555
2020-02-10,7.400000,8.740000,7.020000,8.140000,8.140000,282049
2020-02-11,8.300000,8.380000,7.880000,7.880000,7.880000,79416
2020-02-12,7.880000,8.180000,7.800000,7.820000,7.820000,90064
2020-02-13,8.120000,8.140000,7.200000,7.740000,7.740000,110572
2020-02-14,7.900000,7.960000,7.800000,7.840000,7.840000,29558
2020-02-17,7.860000,7.920000,7.800000,7.800000,7.800000,33278
2020-02-18,7.840000,8.200000,7.700000,7.800000,7.800000,69954
2020-02-19,7.820000,8.000000,7.620000,7.700000,7.700000,82675
2020-02-20,7.700000,7.700000,7.500000,7.540000,7.540000,72364
2020-02-21,7.600000,7.700000,7.500000,7.640000,7.640000,46870
2020-02-24,7.400000,7.400000,7.100000,7.200000,7.200000,221010
2020-02-25,7.180000,7.320000,6.900000,7.180000,7.180000,213284
2020-02-26,7.180000,7.180000,6.100000,6.940000,6.940000,325756
2020-02-27,6.900000,6.900000,6.440000,6.720000,6.720000,187023
2020-02-28,6.320000,6.580000,6.240000,6.500000,6.500000,143095
2020-03-02,6.420000,6.960000,6.300000,6.700000,6.700000,255924
2020-03-03,6.880000,7.180000,6.800000,6.860000,6.860000,76492
2020-03-04,7.120000,7.140000,6.820000,6.980000,6.980000,33206
2020-03-05,6.980000,7.180000,6.740000,6.740000,6.740000,40931
2020-03-06,6.500000,6.640000,6.200000,6.560000,6.560000,89054
2020-03-09,6.400000,6.400000,5.660000,5.660000,5.660000,211577
2020-03-10,5.500000,5.640000,5.120000,5.400000,5.400000,185604
2020-03-11,5.400000,5.400000,5.060000,5.140000,5.140000,112243
2020-03-12,4.400000,4.400000,3.790000,4.160000,4.160000,180605
2020-03-13,4.160000,4.510000,3.600000,4.400000,4.400000,151343
2020-03-16,4.420000,4.460000,3.900000,4.060000,4.060000,120253
2020-03-17,4.060000,4.500000,4.000000,4.290000,4.290000,95505
2020-03-18,4.500000,4.500000,4.300000,4.300000,4.300000,37827
2020-03-19,4.470000,4.880000,4.390000,4.550000,4.550000,86292
2020-03-20,4.610000,5.180000,4.550000,4.800000,4.800000,171396
2020-03-23,4.950000,4.950000,4.060000,4.160000,4.160000,125001
2020-03-24,4.210000,4.740000,4.210000,4.450000,4.450000,45934
2020-03-25,4.740000,5.000000,4.620000,4.700000,4.700000,93428
2020-03-26,4.710000,4.980000,4.710000,4.930000,4.930000,61649
2020-03-27,5.000000,5.400000,5.000000,5.000000,5.000000,112558
2020-03-30,4.800000,5.020000,4.730000,4.870000,4.870000,50725
2020-03-31,5.000000,5.200000,4.900000,5.120000,5.120000,166375
2020-04-01,5.340000,5.400000,5.000000,5.180000,5.180000,109943
2020-04-02,5.160000,5.220000,5.000000,5.200000,5.200000,60938
2020-04-03,5.060000,5.160000,4.980000,5.100000,5.100000,15946
2020-04-06,5.400000,5.400000,5.040000,5.180000,5.180000,54721
2020-04-07,5.200000,5.220000,4.960000,5.100000,5.100000,119565
2020-04-08,5.200000,5.200000,4.910000,5.040000,5.040000,31405
2020-04-14,5.000000,5.100000,4.750000,5.000000,5.000000,76321
2020-04-15,4.660000,5.000000,4.660000,4.820000,4.820000,93085
2020-04-16,4.800000,4.840000,4.580000,4.650000,4.650000,104980
2020-04-17,4.850000,4.850000,4.500000,4.510000,4.510000,82686
2020-04-20,4.510000,4.840000,4.510000,4.540000,4.540000,28727
2020-04-21,4.650000,4.800000,4.600000,4.700000,4.700000,63128
2020-04-22,4.750000,4.840000,4.550000,4.670000,4.670000,41491
2020-04-23,4.670000,4.670000,4.520000,4.550000,4.550000,16746
2020-04-24,4.570000,4.680000,4.560000,4.560000,4.560000,25661
2020-04-27,4.580000,4.740000,4.580000,4.710000,4.710000,52740
2020-04-28,4.800000,4.800000,4.560000,4.580000,4.580000,75187
2020-04-29,4.680000,4.700000,4.600000,4.600000,4.600000,69263
2020-04-30,4.700000,4.750000,4.610000,4.750000,4.750000,22577
2020-05-01,4.899500,4.899500,4.750000,4.834000,4.834000,43686
2020-05-04,4.892000,4.999500,4.750000,4.790000,4.790000,32206
2020-05-05,4.791000,5.000000,4.791000,4.901000,4.901000,30796
2020-05-06,4.970000,4.989500,4.800000,4.978000,4.978000,27480
2020-05-07,5.100000,5.140000,4.978500,5.089000,5.089000,55805
2020-05-11,5.100000,5.799000,5.091000,5.722000,5.722000,117516
2020-05-12,5.722000,5.999000,5.500000,5.500000,5.500000,71878
2020-05-13,5.519000,5.519000,5.250000,5.284000,5.284000,33126
2020-05-14,5.285000,5.419000,5.284000,5.360000,5.360000,25753
2020-05-15,5.400000,5.400000,5.200000,5.220000,5.220000,27454
2020-05-18,5.420000,5.660000,5.400000,5.660000,5.660000,111528
2020-05-19,5.600000,5.660000,5.270000,5.579000,5.579000,84962
2020-05-20,5.999000,6.500000,5.999000,6.460000,6.460000,390143
2020-05-25,6.500000,6.999000,6.500000,6.805000,6.805000,225969
2020-05-26,6.805000,6.999000,6.300000,6.410000,6.410000,178895
2020-05-27,6.450000,6.660000,6.450000,6.660000,6.660000,114953
2020-05-28,6.500000,6.589000,6.120000,6.168000,6.168000,129837
2020-05-29,6.168000,6.439000,6.014000,6.060000,6.060000,83208
2020-06-02,6.060000,6.150000,6.012000,6.080000,6.080000,75428
2020-06-03,6.200000,6.200000,5.805000,5.920000,5.920000,102886
2020-06-04,5.850000,5.850000,5.600000,5.800000,5.800000,98141
2020-06-08,5.760000,5.760000,5.351000,5.620000,5.620000,173502
2020-06-09,5.396000,5.597000,5.304000,5.304000,5.304000,126569
2020-06-10,5.304000,5.699000,5.200000,5.600000,5.600000,82994
2020-06-11,5.440000,5.500000,5.102000,5.472000,5.472000,157400
2020-06-12,5.121000,5.472000,5.121000,5.420000,5.420000,84343
2020-06-15,5.421000,5.501000,5.372000,5.372000,5.372000,43493
2020-06-16,5.500000,5.600000,5.381000,5.450000,5.450000,116411
2020-06-17,5.440000,5.440000,5.380000,5.400000,5.400000,14274
2020-06-18,5.380000,5.400000,5.300000,5.400000,5.400000,22843
2020-06-19,5.400000,5.800000,5.280000,5.500000,5.500000,76268
2020-06-22,5.500000,5.640000,5.200000,5.340000,5.340000,45461
2020-06-23,5.320000,5.320000,5.120000,5.200000,5.200000,46577
2020-06-24,5.100000,5.180000,4.950000,5.000000,5.000000,52885
2020-06-25,5.180000,5.180000,5.000000,5.020000,5.020000,43345
2020-06-26,5.000000,5.160000,4.960000,5.040000,5.040000,65136
2020-06-29,5.040000,5.040000,4.960000,4.970000,4.970000,9727
2020-06-30,4.960000,5.140000,4.810000,5.000000,5.000000,28599
2020-07-01,4.800000,5.000000,4.790000,4.820000,4.820000,58731
2020-07-02,4.820000,4.930000,4.800000,4.850000,4.850000,45941
2020-07-03,5.080000,5.080000,4.850000,4.980000,4.980000,45057
2020-07-06,4.870000,4.970000,4.870000,4.970000,4.970000,44634
2020-07-07,4.870000,4.970000,4.860000,4.870000,4.870000,24120
2020-07-08,4.990000,4.990000,4.860000,4.860000,4.860000,32474
2020-07-09,4.880000,4.980000,4.850000,4.900000,4.900000,22798
2020-07-10,4.960000,5.000000,4.850000,4.850000,4.850000,68676
2020-07-13,4.940000,4.990000,4.830000,4.940000,4.940000,27085
2020-07-14,5.000000,5.000000,4.830000,4.920000,4.920000,18162
2020-07-15,4.920000,4.920000,4.830000,4.900000,4.900000,20083
2020-07-16,4.890000,4.970000,4.870000,4.910000,4.910000,12588
2020-07-17,4.970000,5.100000,4.920000,5.100000,5.100000,44949
2020-07-20,null,null,null,null,null,null
2020-07-21,4.980000,4.980000,4.900000,4.950000,4.950000,42387
2020-07-22,4.950000,4.980000,4.940000,4.940000,4.940000,24710
2020-07-23,4.950000,4.990000,4.900000,4.920000,4.920000,11378
2020-07-24,4.930000,5.060000,4.930000,5.000000,5.000000,46373
2020-07-27,5.100000,5.600000,5.100000,5.300000,5.300000,180083
2020-07-28,5.300000,5.500000,5.300000,5.400000,5.400000,67831
2020-07-29,5.380000,5.400000,5.000000,5.180000,5.180000,105497
2020-07-30,5.260000,5.280000,5.020000,5.020000,5.020000,69168
2020-07-31,5.020000,5.260000,5.000000,5.200000,5.200000,48535
2020-08-03,5.180000,5.180000,5.080000,5.140000,5.140000,54651
2020-08-04,5.140000,5.140000,4.920000,5.080000,5.080000,75069
2020-08-05,5.060000,5.120000,5.000000,5.100000,5.100000,23721
2020-08-06,5.040000,5.260000,5.040000,5.160000,5.160000,65191
2020-08-07,5.160000,5.220000,5.080000,5.220000,5.220000,32162
2020-08-10,5.220000,5.300000,5.120000,5.280000,5.280000,69091
2020-08-11,5.260000,5.300000,5.160000,5.280000,5.280000,92421
2020-08-12,5.220000,5.340000,5.180000,5.320000,5.320000,36734
2020-08-13,5.380000,5.380000,5.240000,5.240000,5.240000,14937
2020-08-14,5.220000,5.260000,5.000000,5.260000,5.260000,77493
2020-08-17,5.280000,5.280000,5.100000,5.260000,5.260000,31433
2020-08-18,5.220000,5.220000,5.100000,5.100000,5.100000,32554
2020-08-19,5.260000,5.260000,5.160000,5.240000,5.240000,27516
2020-08-20,5.240000,5.240000,5.120000,5.200000,5.200000,16661
2020-08-21,5.200000,5.220000,5.120000,5.180000,5.180000,19485
2020-08-24,5.200000,5.220000,5.140000,5.180000,5.180000,37324
2020-08-25,5.180000,5.180000,5.100000,5.140000,5.140000,24635
2020-08-26,5.100000,5.120000,4.900000,5.000000,5.000000,141811
2020-08-27,5.020000,5.100000,5.000000,5.000000,5.000000,37431
2020-08-28,5.000000,5.100000,4.960000,5.000000,5.000000,42626
2020-08-31,5.020000,5.020000,4.760000,4.850000,4.850000,91599
2020-09-01,4.770000,4.990000,4.770000,4.940000,4.940000,63544
2020-09-02,4.970000,4.970000,4.560000,4.790000,4.790000,52942
2020-09-03,4.830000,5.000000,4.790000,4.940000,4.940000,77814
2020-09-04,4.940000,4.960000,4.560000,4.790000,4.790000,59585
2020-09-07,4.840000,5.000000,4.840000,4.910000,4.910000,32399
2020-09-08,4.980000,4.990000,4.800000,4.960000,4.960000,22535
2020-09-09,4.860000,4.900000,4.610000,4.740000,4.740000,53065
2020-09-10,4.720000,4.730000,4.570000,4.670000,4.670000,17192
2020-09-11,4.640000,4.770000,4.550000,4.770000,4.770000,65622
2020-09-14,4.770000,4.880000,4.600000,4.650000,4.650000,40878
2020-09-15,4.820000,4.900000,4.650000,4.840000,4.840000,67517
2020-09-16,4.800000,4.820000,4.650000,4.750000,4.750000,49510
2020-09-17,4.790000,4.870000,4.720000,4.790000,4.790000,42256
2020-09-18,null,null,null,null,null,null
2020-09-21,4.750000,4.790000,4.650000,4.720000,4.720000,38962
2020-09-22,4.700000,4.700000,4.300000,4.450000,4.450000,96944
2020-09-23,4.600000,4.600000,4.460000,4.570000,4.570000,64529
2020-09-24,4.570000,4.600000,4.510000,4.560000,4.560000,35043
2020-09-25,4.410000,4.550000,4.350000,4.410000,4.410000,61239
2020-09-28,4.420000,4.460000,4.300000,4.400000,4.400000,99538
2020-09-29,4.400000,4.460000,4.250000,4.400000,4.400000,52715
2020-09-30,4.400000,4.450000,4.250000,4.450000,4.450000,28566
2020-10-01,4.360000,4.400000,4.250000,4.270000,4.270000,57353
2020-10-02,4.200000,4.350000,4.190000,4.350000,4.350000,73746
2020-10-05,4.510000,4.880000,4.510000,4.560000,4.560000,131345
2020-10-06,4.680000,5.060000,4.680000,4.920000,4.920000,92204
2020-10-07,4.970000,5.000000,4.720000,4.940000,4.940000,54982
2020-10-08,4.750000,4.920000,4.720000,4.900000,4.900000,45656
2020-10-09,4.910000,4.940000,4.770000,4.770000,4.770000,33403
2020-10-12,4.770000,4.950000,4.730000,4.830000,4.830000,32400
2020-10-13,4.830000,4.840000,4.410000,4.670000,4.670000,61802
2020-10-14,4.530000,4.550000,4.400000,4.440000,4.440000,79104
2020-10-15,4.440000,4.700000,4.400000,4.650000,4.650000,87854
2020-10-16,4.680000,4.720000,4.480000,4.520000,4.520000,38156
