Date,Open,High,Low,Close,Adj Close,Volume
2019-10-21,1.020000,1.020300,1.016800,1.018900,1.018900,23718
2019-10-22,1.018200,1.018500,1.014600,1.015300,1.015300,19029
2019-10-23,1.014900,1.015500,1.012600,1.013500,1.013500,22853
2019-10-24,1.013000,1.014800,1.010900,1.011800,1.011800,19494
2019-10-25,1.011500,1.013100,1.008200,1.009000,1.009000,21536
2019-10-27,null,null,null,null,null,null
2019-10-28,1.009200,1.009300,1.006600,1.008900,1.008900,20642
2019-10-29,1.008800,1.010200,1.007100,1.009800,1.009800,18837
2019-10-30,1.009400,1.014900,1.008900,1.013000,1.013000,19471
2019-10-31,1.014100,1.017400,1.013900,1.016400,1.016400,32077
2019-11-01,1.017000,1.018200,1.010600,1.017400,1.017400,37084
2019-11-03,null,null,null,null,null,null
2019-11-04,1.017400,1.017800,1.014100,1.015100,1.015100,29494
2019-11-05,1.015100,1.015300,1.009300,1.009500,1.009500,23748
2019-11-06,1.010300,1.011300,1.008900,1.010500,1.010500,36337
2019-11-07,1.010100,1.011500,1.004900,1.007100,1.007100,19273
2019-11-08,1.007500,1.008200,1.004500,1.004900,1.004900,35195
2019-11-10,null,null,null,null,null,null
2019-11-11,1.004900,1.009700,1.004800,1.009200,1.009200,21942
2019-11-12,1.009200,1.010200,1.006000,1.010000,1.010000,19821
2019-11-13,1.009100,1.014000,1.009100,1.013100,1.013100,22162
2019-11-14,1.012600,1.015200,1.011400,1.014300,1.014300,31788
2019-11-15,1.013900,1.014100,1.011000,1.011900,1.011900,21816
2019-11-17,null,null,null,null,null,null
2019-11-18,1.012400,1.015400,1.010600,1.013500,1.013500,22687
2019-11-19,1.012400,1.012900,1.010100,1.011000,1.011000,25317
2019-11-20,1.011200,1.012000,1.008100,1.010300,1.010300,23270
2019-11-21,1.011000,1.012600,1.007900,1.008500,1.008500,31949
2019-11-22,1.008500,1.008800,1.003400,1.003800,1.003800,24696
2019-11-24,null,null,null,null,null,null
2019-11-25,1.003500,1.005400,1.002600,1.004300,1.004300,31277
2019-11-26,1.004500,1.005000,1.002600,1.004200,1.004200,25125
2019-11-27,1.003600,1.004000,1.001100,1.001800,1.001800,24896
2019-11-29,null,null,null,null,null,null
2019-12-01,null,null,null,null,null,null
2019-12-02,1.001100,1.009900,1.000100,1.009500,1.009500,32053
2019-12-03,1.009900,1.015400,1.008300,1.014100,1.014100,47163
2019-12-04,1.014100,1.015500,1.010900,1.011600,1.011600,38611
2019-12-05,1.012200,1.014000,1.011200,1.013600,1.013600,43450
2019-12-06,1.013500,1.014300,1.008800,1.010700,1.010700,22412
2019-12-08,null,null,null,null,null,null
2019-12-09,1.010700,1.013100,1.009500,1.012600,1.012600,30424
2019-12-10,1.012700,1.017400,1.012300,1.017200,1.017200,25280
2019-12-11,1.016400,1.019300,1.014200,1.018800,1.018800,44310
2019-12-12,1.017800,1.019600,1.012700,1.014500,1.014500,70121
2019-12-13,1.015800,1.020000,1.014200,1.016500,1.016500,52385
2019-12-15,null,null,null,null,null,null
2019-12-16,1.016300,1.018300,1.016100,1.018200,1.018200,13658
2019-12-17,1.024500,1.027800,1.022800,1.026900,1.026900,23474
2019-12-18,1.027400,1.027700,1.025200,1.027100,1.027100,26271
2019-12-19,1.026900,1.030200,1.025800,1.029500,1.029500,23454
2019-12-20,1.028900,1.029200,1.023600,1.024400,1.024400,27370
2019-12-22,1.024200,1.024300,1.024000,1.024200,1.024200,1454
2019-12-23,1.024200,1.026700,1.023900,1.025100,1.025100,23277
2019-12-24,null,null,null,null,null,null
2019-12-26,1.027000,1.027200,1.024900,1.026000,1.026000,8323
2019-12-27,1.025800,1.033900,1.024800,1.033500,1.033500,8385
2019-12-29,1.032100,1.032600,1.032100,1.032400,1.032400,7850
2019-12-30,1.032100,1.039200,1.032100,1.038000,1.038000,25805
2019-12-31,1.038000,1.042000,1.036500,1.040000,1.040000,33012
2020-01-02,1.039200,1.039600,1.032400,1.033700,1.033700,31284
2020-01-03,1.034800,1.037200,1.031400,1.034100,1.034100,34208
2020-01-05,1.034400,1.035200,1.034400,1.034600,1.034600,11095
2020-01-06,1.034400,1.038500,1.034200,1.037300,1.037300,33575
2020-01-07,1.038100,1.038200,1.032600,1.035000,1.035000,24819
2020-01-08,1.035100,1.039500,1.031500,1.031800,1.031800,26247
2020-01-09,1.031600,1.034400,1.030400,1.032400,1.032400,36540
2020-01-10,1.032200,1.033300,1.029000,1.032900,1.032900,22394
2020-01-12,1.031700,1.032100,1.031600,1.031800,1.031800,3642
2020-01-13,1.031700,1.036000,1.031600,1.034600,1.034600,24914
2020-01-14,1.034600,1.039000,1.033900,1.038400,1.038400,17233
2020-01-15,1.038000,1.042800,1.037500,1.042000,1.042000,30906
2020-01-16,1.041800,1.044400,1.040200,1.040700,1.040700,30107
2020-01-17,1.040400,1.040900,1.035500,1.037400,1.037400,29931
2020-01-19,1.037100,1.037300,1.036800,1.036900,1.036900,6618
2020-01-21,1.037100,1.039000,1.034900,1.036900,1.036900,25246
2020-01-22,1.036100,1.037100,1.031600,1.036600,1.036600,26296
2020-01-23,1.036500,1.037900,1.034100,1.035000,1.035000,25829
2020-01-24,1.035100,1.035400,1.032600,1.033700,1.033700,21725
2020-01-26,1.034000,1.035300,1.033400,1.034600,1.034600,34947
2020-01-27,1.034000,1.036300,1.032300,1.034800,1.034800,18828
2020-01-28,1.034700,1.036600,1.029900,1.031000,1.031000,24372
2020-01-29,1.031100,1.031500,1.027200,1.030800,1.030800,26429
2020-01-30,1.030000,1.036200,1.030000,1.034500,1.034500,24468
2020-01-31,1.034500,1.041700,1.032600,1.041000,1.041000,32908
2020-02-02,1.041200,1.041800,1.040800,1.041100,1.041100,21298
2020-02-03,1.041200,1.041800,1.036300,1.038100,1.038100,37729
2020-02-04,1.038300,1.038500,1.033300,1.034200,1.034200,28269
2020-02-05,1.034700,1.036000,1.028700,1.029600,1.029600,24583
2020-02-06,1.029700,1.030200,1.027500,1.027900,1.027900,28845
2020-02-07,1.028300,1.029200,1.024900,1.025800,1.025800,20715
2020-02-09,1.025700,1.026600,1.025100,1.026300,1.026300,15146
2020-02-10,1.025700,1.026600,1.024500,1.025900,1.025900,27752
2020-02-11,1.025600,1.028000,1.023700,1.027500,1.027500,26413
2020-02-12,1.027200,1.028900,1.024200,1.024400,1.024400,25138
2020-02-13,1.024400,1.026600,1.022800,1.023200,1.023200,22164
2020-02-14,1.023100,1.023400,1.020100,1.020500,1.020500,31320
2020-02-16,1.020300,1.020400,1.020000,1.020300,1.020300,949
2020-02-18,1.020300,1.022700,1.018200,1.019200,1.019200,30304
2020-02-19,1.019000,1.019500,1.017500,1.017600,1.017600,36627
2020-02-20,1.018100,1.020400,1.017000,1.017800,1.017800,24026
2020-02-21,1.017600,1.025000,1.017500,1.024100,1.024100,35687
2020-02-23,1.022500,1.023700,1.022200,1.023000,1.023000,48035
2020-02-24,1.022500,1.025600,1.020300,1.022100,1.022100,38214
2020-02-25,1.022600,1.027000,1.021200,1.026000,1.026000,40525
2020-02-26,1.026300,1.029200,1.023900,1.026800,1.026800,39549
2020-02-27,null,null,null,null,null,null
2020-02-28,null,null,null,null,null,null
2020-03-01,null,null,null,null,null,null
2020-03-02,null,null,null,null,null,null
2020-03-03,null,null,null,null,null,null
2020-03-04,null,null,null,null,null,null
2020-03-05,null,null,null,null,null,null
2020-03-06,null,null,null,null,null,null
2020-03-08,null,null,null,null,null,null
2020-03-09,null,null,null,null,null,null
2020-03-10,null,null,null,null,null,null
2020-03-11,null,null,null,null,null,null
2020-03-12,null,null,null,null,null,null
2020-03-13,null,null,null,null,null,null
2020-03-15,null,null,null,null,null,null
2020-03-16,null,null,null,null,null,null
2020-03-17,null,null,null,null,null,null
2020-03-18,null,null,null,null,null,null
2020-03-19,null,null,null,null,null,null
